tiempo,latitude,longitude,altitud,s_vertical,viento_u,viento_v,temperatura,presion,densidad,gravedad,diameter_balloon
6665,13.869864472677104,-89.32438875980357,29994.123256936367,6.531676174992398,-29.220833255464584,3.6723759404777585,226.58112325693637,1201.1719600095253,0.018468815326905984,9.714960268600231,0.0
6666,13.86983145864322,-89.32438566458676,29995.82932322207,-3.132332044530412,-29.22115784204502,3.6752855903978787,226.5828293232221,1200.8668763618155,0.018463985437024412,9.714955089917286,0.0
6667,13.86979849133487,-89.32438256941724,29987.94059215399,-12.5471054587158,-29.21965697642049,3.6618315728638384,226.574940592154,1202.2782333813118,0.018486329445555144,9.71497903581938,0.0
6668,13.86976571486759,-89.32437947448457,29971.06455677261,-21.004723903811716,-29.216446236801712,3.63304995083024,226.55806455677262,1205.3032527377277,0.01853422288204545,9.715030262592448,0.0
6669,13.869733258317163,-89.32437637995855,29946.395878513264,-28.06007829616369,-29.21175291275727,3.590978187072725,226.53339587851326,1209.7392648734797,0.018604462190837175,9.715105144462349,0.0
6670,13.869701230020919,-89.3243732859817,29915.434621185577,-33.58102945370663,-29.2058623979946,3.5381745998585394,226.50243462118559,1215.3307310123341,0.018693007654120603,9.71519912870597,0.0
6671,13.869669715101015,-89.32437019266597,29879.694296132668,-37.68791365320246,-29.199062644673266,3.4772204418596955,226.4666942961327,1221.8185153737477,0.018795762120992692,9.715307621713432,0.0
6672,13.869638776030097,-89.32436710009358,29840.465181648047,-40.61265367552591,-29.19159913388776,3.4103162478180797,226.42746518164805,1228.9808420837173,0.0189092187884381,9.715426707350675,0.0
6673,13.869608457659874,-89.32436400832351,29798.789228093694,-42.619253313395674,-29.183670101256368,3.3392390359028585,226.3857892280937,1236.637476627996,0.019030527247188365,9.715553223119631,0.0
6674,13.869578790889374,-89.32436091739645,29755.45342501843,-43.94710584319171,-29.175425274986388,3.2653309955102214,226.34245342501845,1244.6513767755744,0.019157519813591883,9.715684780317712,0.0
6675,13.86954979696167,-89.32435782734034,29711.046689916082,-44.79737525629698,-29.166976699209453,3.189596509502212,226.29804668991608,1252.9190369481787,0.019288558889115695,9.715819591382873,0.0
6676,13.8695214889746,-89.32435473817242,29665.968871402794,-45.31632540351156,-29.15840044687541,3.1127175088821977,226.2529688714028,1261.3697297248748,0.019422525332185973,9.715956442609485,0.0
6677,13.869493875537847,-89.32435164990402,29620.508558576814,-45.612224032614094,-29.14975142332373,3.0351861745541093,226.20750855857682,1269.9518270199442,0.01955860200466878,9.716094457974478,0.0
6678,13.869466960682708,-89.32434856254048,29574.852959176485,-45.76002002354276,-29.141065245646264,2.9573217842538035,226.16185295917649,1278.6315664462788,0.01969625448382627,9.716233069180062,0.0
6679,13.86944074549566,-89.32434547608322,29529.068332368184,-45.786580505531575,-29.132354519939515,2.8792373411979595,226.1160683323682,1287.3974460518061,0.01983530105454248,9.71637207509391,0.0
6680,13.86941523161881,-89.32434239053441,29483.31024260657,-45.755595802270534,-29.123648843022085,2.8011981563577084,226.07031024260658,1296.2203392813774,0.019975280204107788,9.716511003419566,0.0
6681,13.86939041808355,-89.32433930589282,29437.5949254795,-45.674421219947654,-29.11495130378565,2.7232319190891476,226.0245949254795,1305.0974281877782,0.02011614757015458,9.716649804856697,0.0
6682,13.869366303997122,-89.32433622215726,29391.969160743563,-45.56301194122441,-29.106270802283706,2.6454184110022636,225.97896916074356,1314.0198129872208,0.020257762213467548,9.716788337359176,0.0
6683,13.869342887894812,-89.32433313932582,29346.46353923167,-45.43472927847589,-29.097613158556154,2.5678098039354484,225.93346353923167,1322.9815350583742,0.020400029775864713,9.716926508024404,0.0
6684,13.869320168071086,-89.32433005739627,29301.09329895429,-45.296432927885625,-29.0889812717012,2.490432085903534,225.8880932989543,1331.9795198641941,0.020542901621066503,9.717064270559815,0.0
6685,13.869298142403752,-89.32432697636582,29255.866844324846,-45.152138334800924,-29.0803767406953,2.4132995904063734,225.84286684432485,1341.011974820695,0.02068634943424974,9.717201599419232,0.0
6686,13.869276808520913,-89.32432389623139,29210.787810409645,-45.00385737528535,-29.071800257125723,2.3364185169512597,225.79778781040966,1350.0780196787634,0.020830359370758396,9.717338483536842,0.0
6687,13.869256164038738,-89.32432081698983,29165.858689778164,-44.85312220098759,-29.063252295214735,2.2597931165480403,225.75285868977818,1359.1769825276378,0.020974920884644425,9.717474915315336,0.0
6688,13.869236206801324,-89.32431773863833,29121.08103368631,-44.70101894053324,-29.05473315009556,2.1834260348217214,225.7080810336863,1368.3083664814174,0.021120026202590722,9.71761089001534,0.0
6689,13.869216934480267,-89.32431466117383,29076.45586001763,-44.5484376230206,-29.046243015425,2.107319007745171,225.66345586001765,1377.4717721477734,0.021265669094314817,9.717746404516904,0.0
6690,13.86919834466457,-89.32431158459319,29031.983376492393,-44.395930869652126,-29.037781930722744,2.0314723895796862,225.6189833764924,1386.6669587558658,0.021411845845991224,9.71788145816024,0.0
6691,13.869180434944033,-89.32430850889322,28987.663274538776,-44.24382403895181,-29.029349837281654,1.9558856540643714,225.57466327453878,1395.893788486294,0.021558554377507328,9.718016051853528,0.0
6692,13.869163203100818,-89.32430543407105,28943.49504253021,-44.09231562329629,-29.020946637762535,1.8805579286339438,225.53049504253022,1405.1521642656623,0.021705793254716266,9.718150187121786,0.0
6693,13.869146627962827,-89.32430236009881,28899.470467900563,-43.941812726833525,-29.012570769688722,1.80547520697893,225.48647046790057,1414.4436190709669,0.021853586972668898,9.718283888878094,0.0
6694,13.869130714630789,-89.32429928698325,28855.591576899104,-43.79223863907008,-29.00422261856301,1.7306409448126645,225.4425915768991,1423.7675465022298,0.022001926005241743,9.71841715094166,0.0
6695,13.869115470844323,-89.32429621473453,28811.861443929974,-43.64347690171171,-28.995902769304248,1.6560603854482852,225.39886144392997,1433.1230999444815,0.022150796995598406,9.718549963947865,0.0
6696,13.869100896603422,-89.32429314335268,28768.280068993183,-43.49552751475841,-28.98761122191244,1.5817335288858043,225.35528006899318,1442.510075788931,0.022300196810956976,9.718682327869006,0.0
6697,13.869086991908093,-89.32429007283773,28724.84745208872,-43.3483904782102,-28.979347976387583,1.5076603751252096,225.31184745208873,1451.9282667753519,0.022450122257553135,9.718814242677462,0.0
6698,13.869073756758336,-89.32428700318965,28681.56359321659,-43.20206579206707,-28.971113032729676,1.433840924166501,225.26856359321658,1461.3774619844914,0.022600570080484883,9.71894570834571,0.0
6699,13.869061191154145,-89.32428393440847,28638.428492376792,-43.05655345632902,-28.962906390938716,1.3602751760096847,225.2254284923768,1470.857446830711,0.022751536963561237,9.719076724846321,0.0
6700,13.869049295095525,-89.32428086649423,28595.44214956932,-42.91185347099605,-28.954728051014712,1.2869631306547487,225.18244214956934,1480.3680030551816,0.022903019529159966,9.719207292151953,0.0
